text,dateNotBefore,dateNotAfter,avgDate,period
"Dein vortrefflicher Sohn, ohne seinesgleichen wie Horus.",-1694,-1693,-1694,New Kingdom
Du wirst deine Kinder vor Trauer schützen.,-2278,-2184,-2231,Middle Kingdom
"Der $zꜣb$ Renseneb, in (Funktion des) stellvertretenden Schreibers des Wesirs, brachte es.",-1617,-1610,-1614,Late Period
"Ein Opfer, das der König gibt, ein Opfer, das Anubis, der vor der Gotteshalle ist, gibt:",-2345,-2181,-2263,Middle Kingdom
Ein Kornspeicher der oberägyptischen Gerste.,-2589,-2566,-2578,Middle Kingdom
"sie soll den Tag verbringen, indem sie hungert, bis die Zeit nach dem Frühstück gekommen ist.",-1845,-1773,-1809,New Kingdom
Deine Reinigung ist die Reinigung des Schu;,-2321,-2287,-2304,Middle Kingdom
dein Herz möge zufrieden sein!,-1818,-1630,-1724,New Kingdom
"Horus ist es, der das, was Seth dir angetan hat, wiedergutmachen wird.",-2278,-2184,-2231,Middle Kingdom
"Unas ist zu dir gekommen, Horus vom Land $Šzm.t$.",-2375,-2345,-2360,Middle Kingdom
"Es gibt keinen Sterngott, der keinen Begleiter hätte.",-2375,-2345,-2360,Middle Kingdom
"Er ist ein Gott, während ich ein Herrscher bin.",-1548,-1539,-1544,Late Period
"Pe wird für dich stromauf fahren, Hierakonpolis wird für dich stromab fahren.",-2278,-2184,-2231,Middle Kingdom
"Blickt auf die Monumente, die ich errichtet habe!",-1694,-1693,-1694,New Kingdom
Das Schlagen mittels eines Marterwerkzeuges.,-2345,-2181,-2263,Middle Kingdom
Dein Durst ist in meiner Faust.,-1818,-1630,-1724,New Kingdom
Ich möchte dir aber sagen:,-1939,-1760,-1850,New Kingdom
Ein Jungtier der weißen Säbelantilope.,-2494,-2181,-2338,Middle Kingdom
"(Glosse D:) Was (die Textstelle) ""etwas, das von außen eingetreten ist"" angeht:
das ist der Hauch eines Gottes von draußen oder (der Hauch) eines Toten/Wiedergängers;",-1580,-1539,-1560,Late Period
"Osiris Neith, nimm dir die Pupille, die im Horusauge ist, und öffne deinen Mund damit.",-2278,-2184,-2231,Middle Kingdom
"Tausend an Bier, tausend an Brot, tausend an Alabastergefäßen, tausend an Kleidung.",-2494,-2345,-2420,Middle Kingdom
Er wird für dich deine Hand fassen und dich zu den beiden Kapellenreihen des Himmels geleiten und dich auf den Thron des Osiris setzen.,-2321,-2287,-2304,Middle Kingdom
"und Re läßt nicht zu, daß er sich zu Boden lege, wissend, daß er größer ist als er.",-2321,-2287,-2304,Middle Kingdom
"Der Verwalter des Königsvermögens, sein leiblicher Sohn Hor-wer.",-2494,-2345,-2420,Middle Kingdom
Teti hat die Erkenntnis eines jeden Gottes verschlungen.,-2345,-2323,-2334,Middle Kingdom
"vor dem die großen Mächte erschaudern,",-1759,-1630,-1695,New Kingdom
"Du bist fortgegangen, damit du den Hügeln des Horus gebietest, damit du den Hügeln des Seth gebietest, damit du den Hügeln des Osiris Befehle erteilst.",-2278,-2184,-2231,Middle Kingdom
der Weg liegt unter schmaler Gerste,-1939,-1760,-1850,New Kingdom
"(Untersuchung:) Wenn du einen Mann (d.h. Patienten) mit einer Wunde an seinem Ohr untersuchst,
die bis zu seiner Körperöffnung (oder: Öffnung des Hautgewebes, d.h. bis zur Ohröffnung oder zum äußeren Gehörgang) eingeschlagen/eingehauen ist
– allerdings bleibt etwas von der Unterseite seines Ohres am Körper (oder: am Hautgewebe) haften –,
dann musst du (es) folglich für ihn (den Patienten) durch Nähen hinter dem $ẖn.tj$-Bereich seines Ohres zusammenhalten.",-1580,-1539,-1560,Late Period
Geh fort und gebiete den Hügeln des Horus!,-2278,-2184,-2231,Middle Kingdom
"Horus läßt nicht zu, daß du leidest.",-2321,-2287,-2304,Middle Kingdom
"Geschmückte des Horus, der die Fremdländer erschlägt, Wedjebet",-2974,-2930,-2952,Old Kingdom
"Sein Stiftungsbruder, der Totenpriester Qar.",-2414,-2375,-2395,Middle Kingdom
Opfern von Brot und Bier in der Kapelle des Horus Za,-2800,-2650,-2725,Old Kingdom
"Er möge bestattet werden in der westlichen Begräbnisstätte, der Versorgte beim großen Gott und Herr der Ehrwürdigkeit bei seinem Herrn Men-sut-iti-nisut.",-2345,-2181,-2263,Middle Kingdom
"Der einzige Freund (des Königs), ein von seinem Herrn Geliebter, Liebling des Königs, der auf seine beiden Ufern residiert und Hüter des Geheimnisses jedes geheimen Königsbefehls Seschem-nefer.",-2494,-2181,-2338,Middle Kingdom
Darbringen der Speisen (für die) Untertanen,-2800,-2650,-2725,Old Kingdom
"Das Leben gehört dir, dein Steuerruder gehört dir, deine Wereret-Krone gehört dir.",-1759,-1630,-1695,New Kingdom
"Ein Totenopfer für ihn in der Nekropole, indem es sehr groß ist.",-2345,-2323,-2334,Middle Kingdom
"Ein Opfer, das der König gibt, ein Opfer, das Osiris gibt:",-2345,-2323,-2334,Middle Kingdom
"Einziger Freund (des Königs), Vorlesepriester, Großer der Räucherung und Oberarzt Seanch-wj-Ptah.",-2345,-2323,-2334,Middle Kingdom
"Schreiber, Schreiber, zerbrich dein $mnhḏ$-Schreibgerät, brich deine beiden Binsen entzwei, zerreisse deine Buchrollen!",-2278,-2184,-2231,Middle Kingdom
König von Ober- und Unterägypten Nebu-nefer,-2780,-2706,-2743,Old Kingdom
"Pepi Neferkare kennt ihn, diesen Spruch des Re, und Pepi Neferkare wird diese Zaubersprüche des Harachte ausführen, Pepi Neferkare wird (also) ein Bekannter des Re sein, Pepi Neferkare wird ein Freund des Harachte sein.",-2278,-2184,-2231,Middle Kingdom
Nimm dir diesen Pepi in Empfang und lasse ihn leben!,-2321,-2287,-2304,Middle Kingdom
"Und da habe ich ja mit meiner Stange/meinem Staken (?) heftig hantiert, meinen Wasserschwall ausgeschöpft, das, was in meinem Bauch war, an die frische Luft gebracht und meine schmutzige Wäsche gewaschen.",-1939,-1760,-1850,New Kingdom
"Ich werde gehen, damit ich wegen dir eine Bitte an Anubis richte.""",-1939,-1760,-1850,New Kingdom
"Du sollst (auch) dafür sorgen, daß seine Weisheit sich auf seinen Herrn niederschlägt.",-1939,-1760,-1850,New Kingdom
Da sprach Seine Majestät zu diesen Freunden:,-1694,-1693,-1694,New Kingdom
"""Die untere Lippe des Bebon.""",-2181,-2161,-2171,Middle Kingdom
Unas' Kas sind hinter ihm.,-2375,-2345,-2360,Middle Kingdom
"Paß auf, daß du nicht von ihm ablassest!",-2375,-2345,-2360,Middle Kingdom
"Horus hat dir seine Kinder gegeben, damit sie dich tragen.",-2278,-2184,-2231,Middle Kingdom
"Merer, den Wadjet, die Gerechtfertigte, geboren hat.",-1759,-1630,-1695,New Kingdom
"Sein Sohn, sein Geliebter, der Vornehme des Königs Chenemti.",-2345,-2181,-2263,Middle Kingdom
"Ein Opfer, das der König, Horus Behedeti und Osiris, Herr von Busiris, geben:",-1649,-1582,-1616,Late Period
"Ein Opfer, das der König gibt, ein Opfer, das Anubis, der auf seinem Berge ist, gibt:",-2345,-2181,-2263,Middle Kingdom
"Ich bin einer, der (nur) Gutes spricht und wiederholt.",-2321,-2287,-2304,Middle Kingdom
So sollst du sie frische Eselsleber essen lassen.,-1845,-1773,-1809,New Kingdom
"O Unas, du bist nicht tot weggegangen.",-2375,-2345,-2360,Middle Kingdom
"Leiter der Mitte, Gebietsverwalter Sab",-2930,-2886,-2908,Old Kingdom
So sollst du dazu sagen:,-1845,-1773,-1809,New Kingdom
"Das Grillklein, deine Rippenstücke (kommen) aus der Schlachtbank, das $rtḥ$-Brot aus der Halle.",-2278,-2184,-2231,Middle Kingdom
"Gedeiht Unas, kann Mangel sein Mahl nicht einnehmen.",-2375,-2345,-2360,Middle Kingdom
"Lebe, sei lebendig, Vater, in diesem deinem Namen bei den Göttern.",-2287,-2278,-2283,Middle Kingdom
Mein Ba hat nicht mit mir geredet/übereingestimmt! (?),-1939,-1760,-1850,New Kingdom
"Sei nicht in Unkenntnis des Unas, Thot, denn du kennst ihn und er kennt dich.",-2375,-2345,-2360,Middle Kingdom
Sie sollen nicht deine Hand packen zum Haus Jenes Ba hin.,-2278,-2184,-2231,Middle Kingdom
"Sie öffnete ihren Mund zu mir, während ich vor ihr auf dem Bauch lag, und sie sagte zu mir:",-1939,-1760,-1850,New Kingdom
"Sie mögen ein Totenopfer (aus) Brot, Bier, Rindern, Geflügel, Alabaster, Leinen und jeder guten Sache, die vor dem großen Gott herauskommt, geben.",-1878,-1843,-1861,New Kingdom
Das sehr häufige Rezitieren der Verklärungssprüche seitens des Vorlesepriesters.,-2345,-2323,-2334,Middle Kingdom
"Ein Jungtier von der Viehweide,",-2494,-2345,-2420,Middle Kingdom
Das Oberhaupt von El-Kab Ra-wer.,-2475,-2455,-2465,Middle Kingdom
Verwalter des großen Gutes Tjazi,-2800,-2650,-2725,Old Kingdom
"Es gibt kein Leid im Mund dessen, der es (laut) ausspricht!",-1759,-1630,-1695,New Kingdom
"Der Versorgte, dessen Reputation gut ist, der von seinen Bruder geliebt wird, der von seinem Vater gelobt wird in seinem täglichen Bedarf, Henenu, den Senet geboren hat.",-2008,-1957,-1983,New Kingdom
"Die Wege sind für die, die vorbeiziehen wollen, verborgen/unzugänglich;",-2375,-2345,-2360,Middle Kingdom
"Da sagte die Majestät des Königs von Ober- und Unterägypten 𓍹Cheops𓍺, gerechtfertigt:",-1580,-1539,-1560,Late Period
"Tausend an Kranich und Rind, tausend an Brot, tausend an Bier und jede süße Sache.",-2494,-2181,-2338,Middle Kingdom
"Ein Opfer, das der König gibt, ein Opfer, das Anubis, der vor der Gotteshalle ist, gibt:",-2345,-2181,-2263,Middle Kingdom
Daraufhin sagte ich zu ihr:,-1580,-1539,-1560,Late Period
Er wird nicht sterben und dieser Unas wird nicht sterben.,-2375,-2345,-2360,Middle Kingdom
Nun sagte die Majestät dieses Gottes:,-1939,-1760,-1850,New Kingdom
"Ein Opfer, das der König gibt, ein Opfer, das Anubis, der auf seinem Berg ist, der Balsamierer, der vor der Götterhalle ist, gibt:",-2345,-2323,-2334,Middle Kingdom
(sie) werden in seine beiden Nasenhöhlen/-löcher gegeben.,-1580,-1539,-1560,Late Period
"Wie beklagenswert ist der Hilfsbedürftige, der von dir vernichtet ist/wird, (indem/weil) du dem Boten des (Krokodildämons) Chenti ähnelst!",-1939,-1760,-1850,New Kingdom
"Er hat veranlaßt, daß Thot die Gefolgsleute des Seth vor dir zurückweichen läßt.",-2321,-2287,-2304,Middle Kingdom
"O Rote Krone, o $jn$-Krone, o Große (Krone), o Zauberreiche (Krone), o Nezret!",-2278,-2184,-2231,Middle Kingdom
"Thinitischer Gau (8. o.äg. Gau): Vorsteher der Festungen, Aufseher der Königsleute, Vorsteher der Aufträge, Leiter des Landes, Verwalter des großen Gutes, Verwalter des Königsvermögens Nefer-nisut.",-2487,-2455,-2471,Middle Kingdom
"Seine Frau, seine Geliebte, der einzige Schmuck des Königs, Anch-enes-Pepi.",-2345,-2181,-2263,Middle Kingdom
"Er möge aufsteigen zum Großen Gott, Herr des Himmels, wegen des Frieden Machens, indem er Würde erlangt hat.",-2345,-2323,-2334,Middle Kingdom
(Aber) zu seiner Stelle von gestern kommt ein gutes Verhalten (zurück) (d.h. es wird sich wieder gut verhalten).,-1939,-1760,-1850,New Kingdom
"Ein Opfer, das der König gibt, ein Opfer, das Anubis, der vor der Gotteshalle ist, gibt:",-2345,-2181,-2263,Middle Kingdom
Das Abbild des Auges ist an deiner Vorderseite hoch aufgerichtet (und) an deiner Hinterseite erhoben.,-1980,-1760,-1870,New Kingdom
Die beiden Türflügel des Himmels öffnen.,-2345,-2323,-2334,Middle Kingdom
"(O) Herr des Schweigens, mögest du mir doch meine Besitztümer (zurück)geben!",-1939,-1630,-1785,New Kingdom
es wird sich nicht erschrecken -,-2278,-2184,-2231,Middle Kingdom
"Die Herrin des Hauses, Ine(t), gerechtfertigt.",-1939,-1760,-1850,New Kingdom
"(Und sogar) wenn er schläft, verteidigt er (d.h. der Gott) ihn.",-1939,-1760,-1850,New Kingdom
"Sei nicht in Unkenntnis des Unas, Himmelsstier.",-2375,-2345,-2360,Middle Kingdom
Möge sie dir deine Knochen vereinigen.,-2278,-2184,-2231,Middle Kingdom
"O Pepi Neferkare, steh auf und setze dich zu einem Tausender an Brot und einem Tausender an Bier.",-2278,-2184,-2231,Middle Kingdom
"Siehe, Pepi Neferkare, (sein) Ei ist für ihn aufgebrochen worden.""",-2278,-2184,-2231,Middle Kingdom
"Erbittest du, daß du zum unteren Himmel hinabsteigst, so steigst du hinab.",-2321,-2287,-2304,Middle Kingdom
"Einer der zum Palast gehört, Senior-Verwalter der Provinz, ein von seinem Herrn Geliebter, der Höfling, Palastleiter und Hüter des Geheimnisses Za-jb.",-2494,-2345,-2420,Middle Kingdom
"Seine Kinder Nefert-ha-chufu, Weret-ka, Sebek-remetsches (und) Nefer-Hathor.",-2487,-2421,-2454,Middle Kingdom
Das Bringen der Vorsteher der Truppen wegen der großen Abrechnung.,-2345,-2181,-2263,Middle Kingdom
"Der Gott ist mit dem Gottesopfer versehen worden, Pepi Neferkare ist mit diesem seinem Brot versehen worden.",-2278,-2184,-2231,Middle Kingdom
"Tausend an Brot, tausend an Bier, tausend an Kleidung, tausend an Alabaster.",-2487,-2421,-2454,Middle Kingdom
Sie ist aus meinem Leib getrieft(?) als(?) Lotos(duft?) (oder: Sie ist über meinen Leib ausgebreitet in der Art von Lotos).,-1759,-1630,-1695,New Kingdom
"Ist (es) nicht für dich, so ist (es) nicht für sie.",-1939,-1760,-1850,New Kingdom
Geliebte des Königs und ihrer Götter sagen:,-2345,-2181,-2263,Middle Kingdom
"Unas spricht zu diesem reinen Ufer, wo er sich zusammen mit dem, der die beiden Götter richtet, niedergelassen hat.",-2375,-2345,-2360,Middle Kingdom
Ein Stier(?)/eine $kꜣ$-Schlange(?) fällt wegen einer $sḏḥ$-Schlange und eine $sḏḥ$-Schlange fällt wegen eines Stiers(?)/einer $kꜣ$-Schlange(?).,-2375,-2345,-2360,Middle Kingdom
"Ein Opfer, das der König (und) Osiris, der Herr von Abydos für den Ka der Herrin des Hauses, Satptah, gerechtfertigt, gibt.",-1759,-1630,-1695,New Kingdom
Ein jeder davon - sein Herz war kühner und sein Arm stärker als der seines Gefährten.,-1939,-1760,-1850,New Kingdom
"Dein Bauch über das Wasser, Mann!",-2414,-2375,-2395,Middle Kingdom
Deine Reinigung ist die Reinigung des Seth.,-2375,-2345,-2360,Middle Kingdom
"Teti ist gekommen, indem er für euch das Brot derer, die er dort antraf, bringt.",-2345,-2323,-2334,Middle Kingdom
Du sollst dich an ihm erfreuen(?)/rosig werden(?) in diesem seinem Namen 'Weide'.,-2375,-2345,-2360,Middle Kingdom
"Er möge bestattet sein in der westlichen Begräbnisstätte, indem er schön an Alter vor dem Großen Gott ist, der Verwalter des Königsvermögens Scheri.",-2345,-2181,-2263,Middle Kingdom
"Ein Opfer, das der König gibt, ein Opfer, das Anubis, der vor der Gotteshalle ist, gibt:",-2345,-2181,-2263,Middle Kingdom
"Horus hat seinen Vater, der du bist, geliebt, Horus kann nicht zulassen, daß du dahingehst.",-2278,-2184,-2231,Middle Kingdom
"O Nemti-em-za-ef Merenre, dein Ka hat dich erkannt gegen deine Feinde.",-2287,-2278,-2283,Middle Kingdom
"Daraufhin hörte sie Geräusche: Singen, Musizieren, Tanzen und Jauchzen - nämlich alles was zu tun üblich war für einen König - in dieser Kammer.",-1580,-1539,-1560,Late Period
"Unas' Herrlichkeit ist am Himmel, seine Macht ist im Horizont, wie (bei) Atum, seinem Vater, der ihn geschaffen hat.",-2375,-2345,-2360,Middle Kingdom
"Ihre Grenzstelen sind vorzüglich gemacht worden wie der Himmel; ihr Wasser ist bekannt gemacht worden gemäß dessen, was in den Schriften stand, überprüft/berechnet gemäß dessen, was in alter Zeit war, weil er die Maat so sehr liebte.",-1878,-1837,-1858,New Kingdom
(Denn) ein Sprößling (wörtl.: Samen) kann Feindschaft/Streit verursachen.,-1939,-1760,-1850,New Kingdom
"Wer ihn wirklich kennt, diesen Spruch des Re, und sie ausführen wird, diese Zaubersprüche des Harachte, der wird wirklich ein Bekannter des Re sein, der wird ein Freund des Harachte sein.",-2321,-2287,-2304,Middle Kingdom
Der Gefolgsmann des Ha Seschemnefer.,-2487,-2421,-2454,Middle Kingdom
Das Auge ist aus deinem Kopf hervorgegangen als oberägyptische Zauberreiche (Krone); das Auge ist aus deinem Kopf hervorgegangen als unterägyptische Zauberreiche (Krone).,-2287,-2278,-2283,Middle Kingdom
"Du bist doch nicht auf meine Kleider getreten?""",-1939,-1760,-1850,New Kingdom
"Horus ist gekommen, damit er seinen Vater überprüfe/erkenne, der du bist, verjüngt in deinem Namen 'Verjüngtes Wasser'.",-2278,-2184,-2231,Middle Kingdom
Es kann sich nicht von dir entfernen.,-2375,-2345,-2360,Middle Kingdom
"Ein Opfer, das der König gibt, ein Opfer, gegeben seitens Osiris, Herr von Busiris:",-2345,-2181,-2263,Middle Kingdom
es war keine breite (Landestelle).,-1939,-1760,-1850,New Kingdom
"(Nur) ein kurzer Höhepunkt, ähnlich wie ein Traum, (aber) man trifft auf den Tod, wenn man ihn (den Höhepunkt) kennenlernt.",-1939,-1760,-1850,New Kingdom
Kühlen beider Augen Gut! Mache es!:,-1818,-1630,-1724,New Kingdom
"An dem, was er weiß, wird man den Weisen erkennen (?).",-1939,-1760,-1850,New Kingdom
"Ein Opfer, das der König gibt, ein Opfer, das Anubis, der an der Spitze der Nekropole ist, der auf seinem Berge ist:",-2345,-2181,-2263,Middle Kingdom
"'Nahrung' ist für Pepi Neferkare's Frühstück, 'Fülle' ist für Pepi Neferkare's Abendbrot bestimmt.",-2278,-2184,-2231,Middle Kingdom
"Nut, lebst du, lebt Pepi.",-2321,-2287,-2304,Middle Kingdom
"(Untersuchung:) Wenn du einen Mann (d.h. Patienten) mit einem $pšn$-Spaltbruch an seinem Oberarm untersuchst,
und auf der Rückseite (= Außenseite) jenes Spalt(bruch)s, der an seinem Oberarm ist, findest du eine $tḫb$-Schwellung vor, die aufgeschwollen/erhoben ist;",-1580,-1539,-1560,Late Period
Deinen Kopf zur heliopolitanischen Reput!,-2375,-2345,-2360,Middle Kingdom
"Die beiden Schilfbündel des Himmels sind Re hingelegt worden, damit er damit zum Horizont übersetze.",-2375,-2345,-2360,Middle Kingdom
"$hj.w$-Schlange, leg dich hin/bleib liegen!",-2375,-2345,-2360,Middle Kingdom
Das ist ein neuer Krug!,-2494,-2345,-2420,Middle Kingdom
Mögest du sein $ꜥbꜣ$-Szepter an die Spitze der Lebenden geben.,-2278,-2184,-2231,Middle Kingdom
Der Vorsteher jeder Arbeit des Königs Senedjem-ib.,-2494,-2181,-2338,Middle Kingdom
Haus des Sitzes des Lebensunterhaltes,-3018,-2974,-2996,Old Kingdom
Gut des Ka (Domäne) des Senedjem-ib.,-2414,-2375,-2395,Middle Kingdom
Ein Gegner als Vorgesetzter ist schlimm (wörtl.: ein schwieriger Typ).,-1939,-1760,-1850,New Kingdom
(Behandlung:) Dann musst du ihn (den Patienten) folglich mit $jmr.w$-Verband(?) verbinden.,-1580,-1539,-1560,Late Period
"He Mann, pass auf bei seinem (= Getreideähren) Ablegen!",-2345,-2323,-2334,Middle Kingdom
"Du kannst mir nichts tun, denn Aker hat mich nicht angegriffen!",-1980,-1939,-1960,New Kingdom
"Unas hat die Götter zittern lassen (?), (er) der älter ist als der Große.",-2375,-2345,-2360,Middle Kingdom
"Du hast deinen Kopf erhalten, du hast deine Zähne, du hast dein Haar.",-2278,-2184,-2231,Middle Kingdom
"Knochen(splitter), die bei/aus jenem Splitterbruch entstanden sind, sind (im Ergebnis) im Innern seines (Hirn-)Schädels eingesunken.
oder: Knochen(splitter) sind entstanden bei/aus jenem Splitterbruch, (wobei dieser Bruch im Ergebnis) in das Innere seines (Hirn-)Schädels eingesunken ist.",-1580,-1539,-1560,Late Period
Zu wem werde ich heute sprechen?,-1939,-1760,-1850,New Kingdom
"Ein Totenopfer für sie, täglich, für die Verwalterin des Königsvermögens Chenti.",-2414,-2375,-2395,Middle Kingdom
"Dein Kopf ist der Unterweltliche Horus, (du) Nicht-Untergehender.",-2375,-2345,-2360,Middle Kingdom
"Der Vornehme des Königs, der Würdige Meri-jb.",-2345,-2181,-2263,Middle Kingdom
"O Weisester aller Menschen, ist es (nur) von meiner Angelegenheit (oder: Lage), daß du keine Kenntnisse hast?",-1939,-1760,-1850,New Kingdom
und du wirst dein Haus (wieder) sehen.,-1939,-1760,-1850,New Kingdom
Lebe in Frieden bei deinen Vätern!,-2321,-2287,-2304,Middle Kingdom
"(Denn) der, dessen Bauch leer ist, ist ein Ankläger.",-1939,-1760,-1850,New Kingdom
"Der Verwalter des Königsvermögens, Priester des Anubis, der von Gotteshalle der Wadjet, Balsamierer, Hüter des Geheimnisses, Wab-Priester des Königs und Priester des Sahure Zehi.",-2345,-2181,-2263,Middle Kingdom
"Ihn (d.h. den Besitz) zu stehlen, bedeutet, ihn zu ersticken (wörtl.: seine Nase zu verstopfen).",-1939,-1760,-1850,New Kingdom
"Was nun jeden Sohn von mir betrifft, der diese Grenze halten wird, die Meine Majestät errichtet hat, 
er ist mein Sohn, 
er wird meiner Majestät geboren sein.",-1837,-1819,-1828,New Kingdom
"Einer, der seine Verwandtschaft hintergeht (?), ist ein armseliger Typ, dem es mangelt an dem, was die Rede herbeigebracht hat (?).",-1939,-1760,-1850,New Kingdom
"Sein Bruder, sein Geliebter, der Oberarzt des Palastes Djau.",-2345,-2181,-2263,Middle Kingdom
"Pepi Neferkare's Abscheu ist Hunger, er wird ihn nicht essen.",-2278,-2184,-2231,Middle Kingdom
"Geh, (du) für das Wasser Zuständiger.",-2321,-2287,-2304,Middle Kingdom
"""Die Milde ist an dir vorbeigegangen.",-1939,-1760,-1850,New Kingdom
So sollst du dagegen handeln:,-1845,-1773,-1809,New Kingdom
"Wen Unas auf seinem Weg findet, den ißt er roh(?)/häppchenweise(?)/mit Haut und Haaren(?).",-2375,-2345,-2360,Middle Kingdom
"Atum, mögest du deine Arme um Pepi Neferkare legen als Ka-Arm, damit der Ka des Pepi Neferkare in ihm sei, ewiglich dauernd.",-2278,-2184,-2231,Middle Kingdom
Deshalb möchte ich doch wichtig werden durch den Aufenthalt (??).,-1939,-1760,-1850,New Kingdom
"Ein Opfer, das der König und Osiris geben für den Ka des Großen der Zehn von Oberägypten, des Hausvorstehers des Gottesopfers, Sobekhotep, des Gerechtfertigten.",-1759,-1630,-1695,New Kingdom
(Titel:) Erfahrungswissen über einen Spalt/Spaltbruch in seiner $gmꜣ$-Schläfe (Jochbein- und Schläfenbereich).,-1580,-1539,-1560,Late Period
"Fallen/Netze aufzustellen ist unsere Sache (wörtl.: gehört uns) seit der Zeit des Horus, nachdem (die Feldgöttin) Sechet für uns entstanden ist.",-1939,-1760,-1850,New Kingdom
Die Würden des Teti werden ihm nicht fortgenommen werden.,-2345,-2323,-2334,Middle Kingdom
Da wiederholte sie ihm diese Angelegenheit.,-1580,-1539,-1560,Late Period
Setze es dir an deine Stirn in diesem seinem Namen 'Bestes Salböl'.,-2375,-2345,-2360,Middle Kingdom
"König von Ober- und Unterägypten, Qaa-nebti",-3150,-2800,-2975,Old Kingdom
"Ich kenne nicht den, der veranlaßt, daß ich spreche!""",-1845,-1819,-1832,New Kingdom
Das Abwehren des Krokodils seitens des Hirten.,-2494,-2181,-2338,Middle Kingdom
"Der Verwalter des Königsvermögens und Gutsvorsteher, der Herr der Ehrwürdigkeit Nefer.",-2494,-2181,-2338,Middle Kingdom
und du wirst dort sein inmitten deiner Geschwister (Angehörigen).,-1939,-1760,-1850,New Kingdom
"Siehe, du bist ein Hirte.",-1939,-1760,-1850,New Kingdom
"Erfreue ihr Herz mit dem, was dir zuteil geworden ist!",-1939,-1760,-1850,New Kingdom
"Seine Tochter, seine Geliebte, Chenit.",-2345,-2323,-2334,Middle Kingdom
Der Vorsteher des Leinenzeugs Zescheschen.,-2494,-2181,-2338,Middle Kingdom
"Lebt er, lebt dieser Unas.",-2375,-2345,-2360,Middle Kingdom
"Ein Opfer, das Osiris gibt: Ein Totenopfer für sie an jedem Fest der Verwalterin des Königsvermögen, der Versorgten Tjetut.",-2345,-2181,-2263,Middle Kingdom
Das sind deine Brüder in ihrem Namen 'Die beiden $sn.wt$-Kapellen'.,-2278,-2184,-2231,Middle Kingdom
"Worte sprechen: Osiris anbeten durch den Großen der Zehn von Oberägypten, Sahi, den Gerechtfertigten:",-1759,-1630,-1695,New Kingdom
Der Schreiber und Totenpriester Ipi.,-2494,-2345,-2420,Middle Kingdom
"(Kühlmittel 1:) Blätter der Weide (und des) Christdorns, $qsn.tj$-Mineral (?):",-1580,-1539,-1560,Late Period
"Aufseher der Priester der Teti-Pyramide, Pächter, Bürgermeister, Großwesir, Vorsteher der königlichen Aktenschreiber, Vorsteher aller Arbeiten des Königs, Vorsteher beider Schatzhäuser, Vorsteher der (beiden) Werkstätten, Vorsteher der Verwaltung der zwei Goldhäuser, Vorsteher der beiden Handwerkerstätten des Königsschmucks, Vorsteher v. OÄ, Vorsteher der Wirtschaftsverwaltung, Vorsteher der Scheunenverwaltung, Vorsteher der Aufträge, Residenzvorsteher, Vorsteher der beiden Kammern der Siegelträger, Neferseschemre.",-2345,-2323,-2334,Middle Kingdom
Du wirst dich im Duat-See reinigen und deinen Sitz im Binsengefilde einnehmen.,-2278,-2184,-2231,Middle Kingdom
"Zurück, der die Brüder trennt, der im Sema-Busch lebt!",-1845,-1819,-1832,New Kingdom
"Du sollst auf dem Brandaltar opfern,",-1939,-1760,-1850,New Kingdom
"Osiris Neith, nimm dein Auge, nimm es dir.",-2278,-2184,-2231,Middle Kingdom
"Pepi Neferkare ist gekommen, indem er für euch das Brot derer, die er dort antraf, bringt.",-2278,-2184,-2231,Middle Kingdom
Seine Flügel sind wie (die) ein(es) Falken gewachsen;,-2375,-2345,-2360,Middle Kingdom
"Sei gegrüßt, Osiris-Vorderster-der-Westlichen, an diesem schönen Tag, an dem du erschienen bist;",-1759,-1630,-1695,New Kingdom
"O Unas, der Arm deines Kas ist hinter dir.",-2375,-2345,-2360,Middle Kingdom
Der Sänger des Palastes Hetep-Chenemet.,-2345,-2181,-2263,Middle Kingdom
"Pepi Neferkare ist gekommen, indem er das, was gewünscht und gegeben wird, trägt.",-2278,-2184,-2231,Middle Kingdom
"Die Verwalterin des Königsvermögens, die Miteret En-sedjer-ka.",-2494,-2181,-2338,Middle Kingdom
"Es ist der Gehorchende, der den Redner (oder: das Reden) anhört.",-1939,-1760,-1850,New Kingdom
"Horus, der Osiris Pepi ist, nimm dir das Horusauge zu dir.",-2321,-2287,-2304,Middle Kingdom
Mögest du das dir zugehörige ausstatten.,-2375,-2345,-2360,Middle Kingdom
Geh fort und gebiete den Hügeln des Horus!,-2375,-2345,-2360,Middle Kingdom
"Die Priesterin der Hathor, Priesterin der Neith und Verwalterin des Königsvermögens Chentit-ka.",-2487,-2455,-2471,Middle Kingdom
"Ich bin der, der mit seinem Auge angreift, der in seinem Haus ist, der Gekrönte inmitten des Feuerpalastes, die Nau-Schlange im Inneren dessen ist, was Schu umschließt!",-1945,-1875,-1910,New Kingdom
Tausend an Jungtieren der Hyäne.,-2494,-2181,-2338,Middle Kingdom
Jedermann hat den Blick von seinen Brüdern abgewandt (wörtl.: jeder Mann ist (einer) mit dem Gesicht nach unten in Bezug auf seine Brüder).,-1939,-1760,-1850,New Kingdom
Das Niederlegen der Ausschüttung (von Opferspeisen) mit jeder schönen Sache täglich.,-2494,-2345,-2420,Middle Kingdom
"dem Rechtfertigung in Anwesenheit der versammelten Götterneunheit gegeben wurde,",-1759,-1630,-1695,New Kingdom
